gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000015475,0.053182699097096,0.0587482849128889,0.415657182451919,0.763839667238087,0.0529930357495379,Fip1 v.s. NC,BID,protein_coding
ENSG00000025770,0.0146408615308137,-0.0223499601045988,0.848088846267279,1,-0.0146408615308137,Fip1 v.s. NC,NCAPH2,protein_coding
ENSG00000070010,0.0268667084353181,0.0479472610616779,0.29200687261504,0.390662544531352,0.0219710159990042,Fip1 v.s. NC,UFD1,protein_coding
ENSG00000075234,0.0446627131208302,0.0362268264628769,0.62927795690939,1,0.0156478683165118,Fip1 v.s. NC,TTC38,protein_coding
ENSG00000077942,0.0948560888214111,0.0824633715284842,0.00331698479953691,0.000555828735785396,0.05661531018245,Fip1 v.s. NC,FBLN1,protein_coding
ENSG00000093000,0.0251814545993186,0.0252301757409437,0.678636758621547,1,0.0158918371129799,Fip1 v.s. NC,NUP50,protein_coding
ENSG00000093009,0.0409014327349746,-0.0778012075581862,0.170581600467567,0.191989149501766,-0.0409014327349746,Fip1 v.s. NC,CDC45,protein_coding
ENSG00000093010,0.0275592242754221,0.00391092723074529,0.433757064652332,0.819628162342834,-0.00833109910355834,Fip1 v.s. NC,COMT,protein_coding
ENSG00000099901,0.0654481385987344,0.0520294637766453,0.0727127957334455,0.0880945375647981,0.025961184223336,Fip1 v.s. NC,RANBP1,protein_coding
ENSG00000099940,0.212360079724981,0.205924702922216,0.000199382710413247,0.000320164037190901,0.100519247653527,Fip1 v.s. NC,SNAP29,protein_coding
ENSG00000099942,0.0766460493309956,-0.076150333464567,0.313776915845817,0.599067506944934,-0.0766460493309956,Fip1 v.s. NC,CRKL,protein_coding
ENSG00000099958,0.115293986139057,0.118237587418641,0.261115126298056,0.415482836494217,0.115293986139057,Fip1 v.s. NC,DERL3,protein_coding
ENSG00000099968,0.0669677467134378,0.00901234183413592,0.49101089271713,0.733486254547621,-0.0250146498427917,Fip1 v.s. NC,BCL2L13,protein_coding
ENSG00000099974,0.151515151515151,0.0818614863201969,0.439754739935273,1,0.0848767813963059,Fip1 v.s. NC,DDTL,protein_coding
ENSG00000099977,0.00287561743648343,-0.0165175408956797,0.46275879143144,0.748348297641213,-0.00287561743648346,Fip1 v.s. NC,DDT,protein_coding
ENSG00000099995,0.0458378990119935,0.0412338796562527,0.338842606897085,0.670226459607754,0.0216189127460755,Fip1 v.s. NC,SF3A1,protein_coding
ENSG00000100014,0.115520246126442,0.160074538644865,0.141962837520054,0.175473640173168,0.115520246126442,Fip1 v.s. NC,SPECC1L,protein_coding
ENSG00000100028,0.0832853660948217,0.0975125223865826,3.79755829712756e-10,2.05070035027196e-11,0.0496419291926786,Fip1 v.s. NC,SNRPD3,protein_coding
ENSG00000100030,0.0293867933383771,0.0131314559895983,0.520701251283072,1,0.00604594290030991,Fip1 v.s. NC,MAPK1,protein_coding
ENSG00000100056,0.038961038961039,0.0486899462421801,0.680205725267339,0.877971493264273,0.0297791297791298,Fip1 v.s. NC,ESS2,protein_coding
ENSG00000100097,0.00285967127482073,-0.00239497828579332,0.435457171426174,0.809374587979566,-0.000464991891100164,Fip1 v.s. NC,LGALS1,protein_coding
ENSG00000100104,0.0528338198851974,-0.03044226591867,0.620758083200353,0.973820802845896,-0.0332086421066317,Fip1 v.s. NC,SRRD,protein_coding
ENSG00000100105,0.0688524590163935,-0.0339941634027606,0.619033134461754,1,-0.0340887174541947,Fip1 v.s. NC,PATZ1,protein_coding
ENSG00000100106,0.119934640522876,-0.128147566007585,0.32053307182598,0.4929475344569,-0.0577964519140989,Fip1 v.s. NC,TRIOBP,protein_coding
ENSG00000100129,0.003999037661079,0.0150819966870136,0.49970207958241,0.803391069126644,0.00379024383007327,Fip1 v.s. NC,EIF3L,protein_coding
ENSG00000100138,0.0806345481829856,0.0964331181814652,2.83086979241316e-09,5.07439146257838e-10,0.0806345481829855,Fip1 v.s. NC,SNU13,protein_coding
ENSG00000100142,0.0401664027435839,0.0974947553878265,7.67181467697588e-06,1.84321564677958e-08,0.0101827197857925,Fip1 v.s. NC,POLR2F,protein_coding
